"tid";"price";"timestep"
2859;54.93;2011-08-16 09:00:00
2860;58.01;2011-09-08 19:00:00
2863;65.64;2011-02-17 09:00:00
2864;52.74;2011-08-13 21:00:00
2865;43.06;2011-07-03 11:00:00
2866;41.86;2011-04-01 00:00:00
2867;49;2011-12-10 13:00:00
2868;66.97;2011-06-14 13:00:00
2869;42.43;2011-12-05 06:00:00
2871;68;2011-05-17 17:00:00
2872;41.59;2011-10-29 03:00:00
2873;87.96;2011-11-21 17:00:00
2875;73.58;2011-05-18 08:00:00
2876;39.92;2011-07-26 01:00:00
2878;49.42;2011-01-08 11:00:00
2879;58.6;2011-02-10 12:00:00
2882;37.03;2011-09-04 04:00:00
2884;64.63;2011-09-29 09:00:00
2885;47.38;2011-05-27 03:00:00
2886;65.93;2011-05-04 11:00:00
2889;42.89;2011-04-30 01:00:00
2891;50.83;2011-01-09 11:00:00
2896;44.6;2011-07-29 23:00:00
2897;41.01;2011-11-25 03:00:00
2898;45.56;2011-06-13 06:00:00
2899;28.15;2011-12-14 04:00:00
2900;15.04;2011-01-10 03:00:00
2907;58.05;2011-08-04 10:00:00
2908;53.7;2011-04-29 13:00:00
2909;51.12;2011-06-09 06:00:00
2910;45.82;2011-03-31 05:00:00
2916;68.9;2011-05-11 16:00:00
2917;56.08;2011-03-30 21:00:00
2918;10.75;2011-04-10 15:00:00
2919;64.07;2011-01-07 12:00:00
2920;64.23;2011-03-15 18:00:00
2924;45.39;2011-04-30 07:00:00
2925;71.75;2011-09-27 08:00:00
2927;49.52;2011-06-15 00:00:00
2928;69.93;2011-05-18 10:00:00
2929;61.03;2011-01-28 14:00:00
2930;62.9;2011-11-02 14:00:00
2931;49.17;2011-07-01 06:00:00
2932;46.35;2011-06-16 02:00:00
2933;46.13;2011-12-28 07:00:00
2934;32.4;2011-09-18 03:00:00
2935;68;2011-03-18 13:00:00
2941;6.27;2011-07-24 08:00:00
2942;64.94;2011-06-01 20:00:00
2948;39.47;2011-10-15 02:00:00
2962;58.96;2011-05-02 19:00:00
2963;38.23;2011-12-21 02:00:00
2964;34.02;2011-01-12 01:00:00
2965;42.9;2011-12-30 09:00:00
2968;25.37;2011-06-26 02:00:00
2970;51.33;2011-08-12 16:00:00
2973;50.4;2011-03-22 23:00:00
2974;58.5;2011-10-18 09:00:00
2977;62.2;2011-05-24 22:00:00
2978;56.19;2011-06-20 09:00:00
2980;51.51;2011-10-21 12:00:00
2982;33.33;2011-08-29 02:00:00
2983;52.93;2011-08-13 22:00:00
2985;39.45;2011-11-13 05:00:00
2989;19.11;2011-04-24 03:00:00
2990;33.43;2011-06-26 07:00:00
2994;67.83;2011-05-13 10:00:00
2995;38;2011-02-12 03:00:00
2999;19.96;2011-10-06 03:00:00
3000;45.78;2011-10-07 23:00:00
3002;72.8;2011-11-29 17:00:00
3004;44.85;2011-09-02 01:00:00
3005;55.78;2011-08-16 17:00:00
3008;51.35;2011-04-20 23:00:00
3010;43.21;2011-02-14 23:00:00
3012;33.34;2011-08-28 02:00:00
3014;63.42;2011-04-03 21:00:00
3015;51.96;2011-02-03 22:00:00
3018;44.22;2011-08-31 05:00:00
3020;68.76;2011-05-16 10:00:00
3021;52.12;2011-12-28 19:00:00
3025;37.44;2011-12-23 05:00:00
3026;68.97;2011-11-18 16:00:00
3028;59;2011-07-13 16:00:00
3029;67.11;2011-02-09 08:00:00
3030;70;2011-05-20 22:00:00
3031;53.2;2011-06-15 23:00:00
3032;49.93;2011-03-12 02:00:00
3034;40.17;2011-06-17 03:00:00
3035;53.04;2011-09-12 15:00:00
3036;65.61;2011-03-14 12:00:00
3037;57.92;2011-01-13 19:00:00
3038;72.5;2011-09-09 09:00:00
3041;20.55;2011-01-01 12:00:00
3042;23.78;2011-02-06 14:00:00
3044;45.72;2011-12-03 16:00:00
3045;49.3;2011-07-07 23:00:00
3048;66.99;2011-09-28 12:00:00
3049;60.98;2011-03-18 14:00:00
3050;72.92;2011-05-10 20:00:00
3067;40.04;2011-07-28 01:00:00
3068;62.89;2011-01-18 12:00:00
3069;60.02;2011-08-18 07:00:00
3070;58.02;2011-09-22 17:00:00
3071;53.88;2011-05-24 17:00:00
3072;49.84;2011-03-19 13:00:00
3075;65.38;2011-06-16 14:00:00
3078;38.52;2011-12-17 20:00:00
3085;39.94;2011-12-13 06:00:00
3088;52.99;2011-01-15 11:00:00
3090;60;2011-09-26 12:00:00
3096;24.25;2011-07-23 14:00:00
3097;59.95;2011-08-27 12:00:00
3098;54.64;2011-07-27 07:00:00
3100;51.27;2011-06-04 14:00:00
3101;57.56;2011-05-18 06:00:00
