"tid";"b_m";"capex";"d_phi";"d_v";"g_m";"id";"opex";"r_sc_a";"r_sc_b";"r_sc_c";"s_rated_a";"s_rated_b";"s_rated_c";"tap_max";"tap_min";"tap_neutr";"v_a";"v_b";"v_c";"x_sc_a";"x_sc_b";"x_sc_c"
12214;0;0;-1;-1;0;transformer_three_winding_type_ebba126a0ecbb04e1c70be27ec647930a520746ee3ffaed756caefd7c7d73492fhl;0;0;0;0;300000;300;75;13;-13;0;400;120;10;0.00016066666666666665;0.00009266666666666665;0.00008866666666666666
12216;0;0;-1;-1;0;transformer_three_winding_type_el1c97b0fc03751bd4ec21261900c16cb03f2d3705a95d76795e3213c9c4b3f141nbn;0;0;0;0;40000;40;40;19;1;10;115;33;11;0.00027025;0.00008136250000000003;0.00017508750000000005
12217;0;0;-1;-1;0;transformer_three_winding_type_nr72f25815f4b5f6c74986a459195e882a36e3f73c932ea3c2b28966ccf9f3aae7;0;0;0;0;300000;300;75;13;-13;0;400;120;10;0.00016199999999999998;0.00008999999999999997;0.00011000000000000002
12215;1;100000;0;1.5;40;HöS-HS-MS_1;0;0.3;0.025;0.0008;120000;60000;40000;10;-10;0;380;110;20;1;0.08;0.003
12218;0;0;-1;-1;0;TEST_TYPE;0;0;0;0;100;100;100;0;0;0;10;0.4;0.4;0;0;0
