"tid";"capex";"cosphi";"eth_capa";"eth_losses";"id";"opex";"p_el";"p_heat";"p_rated"
12578;-1;-1;-1;-1;no_type;-1;-1;-1;-1
12579;0;0.95;12.16;0.4;typ_01;0;2.5;11.5;12.5
