"tid";"b";"capex";"g";"i_max";"id";"opex";"r";"v_rated";"x"
1;0;400000;0;1360;Freileitung_110kV_2;0;0.0547;110;0.4
2;191.636993408203;101;0;300;MS_2;0;0.207000002264977;20;0.0691149979829788
3;185.35400390625;301;0;235;NS_2;0;0.319999992847443;0.4;0.0691149979829788
4;85.7655029296875;100;0;361;MS_3;0;0.165999993681908;20;0.117200002074242
6;191.63699340820312;0;0;300;line_type_nehen23419003c3a2d62c93e0cc8cfea736a843ddfb0b026f7cda9c515e08a81ff4d8egd;0;0.2070000022649765;0.4000000059604645;0.06911499798297882
7;0;90000;0;617;Kabel_30kV_2;0;0.068;30;0.109
9;0;60000;0;410;Freileitung_30kV_2;0;0.237;30;0.361
10;191.636993408203;302;0;265;NS_3;0;0.253899991512299;0.4;0.0691149979829788
12;3.22012996673584;0;0;290;line_type_lhr0f7db426dfcfbba20f268415c0488b05318c08c9965275c04bfd9aa74b88db15nr;0;0.43700000643730164;20;0.35600000619888306
13;0;70000;0;423;Kabel_30kV_1;0;0.13;30;0.12
14;3;200;0;550;HS_1;0;0.109999999403954;110;0.379999995231628
15;0;60000;0;290;Freileitung_30kV_1;0;0.413;30;0.379
16;163.363006591797;300;0;195;NS_1;0;0.442999988794327;0.4;0.0722566023468971
11;0;350000;0;680;Freileitung_110kV_1 ;0;0.1094;110;0.4
5;3.22012996673584;102;0;290;MS_1;0;0.437000006437302;10;0.356000006198883
12218;0;0;0;182;line_type_gh10a6cab050e4d0eb8e963ede7f9a5c53bb13cba54703955c69d00d6f9380c7e7em;0;0.4440000057220459;0.4;0.08699999749660492
12219;6.000442028045654;0;0;210;line_type_Gb3382c734043d7f82fc131666736bea37198af88b3ce36be9c83fcce670c808b4r;0;0.5839999914169312;10;0.3840000033378601
12220;30.94468688964844;0;0;290;line_type_ete7163c8003327942ecf05be98bed5cbef6ea603b3d26568db54f24b90f05706fdGl;0;0.3580000102519989;10;0.3230000138282776
12221;125.03538513183594;0;0;200;line_type_nee2fa6d72c8664c935c84431058efcc3a6998c34f7a8e31516e0ed22816eb265citn;0;0.23399999737739563;10;0.1080000028014183
12223;19.949113845825195;0;0;290;line_type_relG57d4285c313a7d2bc47856a13dcb718dc3a8280f4780c0b9a68457d16ecb73efni;0;0.35199999809265137;10;0.3089999854564667
12224;126.3548583984375;0;0;415;line_type_eeenc4b806d57df0b2868197bc5b09e2495b4d1cee18c5b94bbf3715a318160bf9d7eerr;0;0.06800000369548798;10;0.10300000011920929
12225;134.58583068847656;0;0;296;line_type_de6996f9b0b58ee2ed715d39f12a5fdd7265e572a80d5d618fb8eaf20c25baf98eGrr;0;0.18000000715255737;10;0.10300000011920929
12226;6.126105785369873;0;0;290;line_type_eta9b3a4a9b1c1609ed6b52df388f0f1cf82eb018690ac471a2bbc69cf93bfefd9g;0;0.4009999930858612;10;0.3700000047683716
12227;84.47742462158203;0;0;200;line_type_t699ffdb1fd41ce76d93d9793f583fb61eb6d6efab7b0e945b8dd47f049d95f2fdGa;0;0.3910000026226044;10;0.1850000023841858
12228;0;1000000;0;800;"Kabel_110kV_1";0;0.0283;110;0.11
12229;155.60308837890625;0;0;343;line_type_nf7345e41982fa3928c99a1a7603f02fa7fe784c91eec25da02761a5008a4067b2nta;0;0.1550000011920929;10;0.09200000017881393
12230;74.6756591796875;0;0;323;line_type_nhe06c183ac64a02edf7f88b2dca3398654ebcde7e5b27897dea9a302595f7e683m;0;0.20100000500679016;10;0.12600000202655792
12231;102.25884246826172;0;0;200;line_type_dlbaa26adfd62153c60013562db70fb15d26760cbef026ff351f7e970b2925b90feide;0;0.3319999873638153;10;0.10899999737739564
12232;158.2734375;0;0;343;line_type_eab1ce75db2d10a671f195f28adfd2b521f622f772c510a1dd8542f58116831edn;0;0.15399999916553497;10;0.09000000357627869
12233;0;0;0;224;line_type_ddelt90d226993e8b9f9818a0d5f2fe9f9211b5c4d761c1dd2291c150f9b27b0bcadaef;0;0.3199999928474426;0.4;0.06800000369548798
12234;0;0;0;246;line_type_egt0f7def745aa5b4a950aece94ef43c09970a4b3ccff9d64cff605673997aff9e7n;0;0.2080000042915344;0.4;0.07999999821186066
12235;58.2451286315918;0;0;290;line_type_nleea2c47062d6cd7530a76662ffb0ab46614e9dc05901c0a7b9d273a275748a9870baab;0;0.3050000071525574;10;0.2630000114440918
12236;119.91458892822266;0;0;200;line_type_ane8b066a70aa1768108a8ce7c462fadbcef713f6897bf025c5b72801196951d601lnne;0;0.367000013589859;10;0.10100000351667404
12237;113.63140869140624;0;0;200;line_type_bgaac2f5504abfcf448905b7fc5d00cff90c7a0a813092115e43d124cd47ccf25feeIt;0;0.3639999926090241;10;0.10300000011920928
12238;0;0;0;999;line_type_ar3e8d931ef77d4b748599e5e5cfbd810ca5d3d86357e8a9c9b195d4e15b932fb4g;0;0.4000000059604645;0.4;0
12239;115.95618438720705;0;0;316;line_type_n360a844e48289b082c9acc4e51299559de498908a3baeb2960b726344bdef801ee;0;0.210999995470047;10;0.11400000005960464
12240;153.68670654296875;0;0;343;line_type_aenb3d3945a0b223acabab9840fdb8dde073c83bcafa449f3dbb167385aed125803i;0;0.15600000321865082;10;0.09300000220537186
12241;146.1468963623047;0;0;200;line_type_nefc81521b2420996b1c1ae2036ac043394e1fce1cccd8ae9be2a532a06e55eb7fi;0;0.23199999332427979;10;0.09300000220537186
12242;47.68937683105469;0;0;200;line_type_lat656bce7df8878087684b465ac9e64b35cd868b2321e2e866bb7ea7bb71b6b162;0;0.3970000147819519;10;0.2759999930858612
12243;79.13671875;0;0;290;line_type_eeeeIid24ca550446abd935e2566a3178dbcacb6041ca4c343544cac8475fc1257e0e0b;0;0.26499998569488525;10;0.2189999967813492
12244;67.16725158691406;0;0;323;line_type_ihGee5c26a162ac747185510f1e5b0b1fce916ccf66ea703e31e2dfa2318d3eaa453ced;0;0.20600000023841858;10;0.12800000607967377
12245;96.101318359375;0;0;290;line_type_er14ad273e6b48d26153173c65ed5c95b454370fd0050e5513fd2f89eb9e028ec6eh;0;0.23100000619888306;10;0.18000000715255737
12246;7.09999942779541;0;0;290;line_type_encb5b5dfdcab751325643ed058756b759924fd2105348310300401bcf8befe4c7l;0;0.4050000011920929;10;0.37599998712539673
12247;89.629638671875;0;0;323;line_type_htt3745ab25a3fa3f59e17922d2d8f99f11d9798752c3185784f56bf58ad4fe6392bag;0;0.19200000166893005;10;0.12200000137090683
12248;0;0;0;185;line_type_rf6a17291578ec9f603d9153598badd376960b6e4ae31c36d2241b8c02a7e1902agte;0;0.3869999945163726;0.4;0.08500000089406966
12249;94.97034454345703;0;0;250;line_type_antf92cb047c7fa989af3662ecf387f131404ed7cc3179492565e0efeef8ed899e4ihr;0;0.2150000035762787;10;0.19900000095367432
12250;0;0;0;999;line_type_rf99074d2599b83a9e7047ecd6a90b8d4a2165acecf39cfac6c86a3971fb49840rg;0;0.6420000195503235;0.4;0.08299999684095383
12251;0;0;0;141;line_type_nbrt1b4c059376d30dbe6792e9843a5667174460233f5a7f7dede6e44cbb318be6f8eid;0;0.7699999809265136;0.4;0.08500000089406966
12252;32.64114761352539;0;0;290;line_type_ldieae6b092fbac05d786866f7716f0696a9e178e30b0b6b7591acd8aae5aeec0821eet;0;0.3070000112056732;10;0.25200000405311584
12253;9.330530166625977;0;0;210;line_type_nrne5e6bf2668fa84b0b561bd3bea34a7458f3429bf9a149282527a5e4dcf04c26dniat;0;0.5730000138282776;10;0.37599998712539673
12254;8.199556350708008;0;0;170;line_type_nei5441ab196c0b522251e563e45a8699ff827176c4d7ed69c26b0d298dad7d8d77edf;0;0.7960000038146973;10;0.3889999985694886
12255;67.29291534423828;0;0;170;line_type_ge8f971fea7a94c034503cf685780996494cad09ac3fc267aa769852eca1bde7eeegd;0;0.4860000014305114;10;0.25200000405311584
